seriesId,matchId,bowlerIds,bowlerLongNames,overNumber,overRuns,overWickets,isComplete,totalBalls,totalRuns,totalWickets,overRunRate,requiredRunRate,requiredRuns,remainingBalls,predictions,balls,events
1442984,1442987,104770,Ravi Bishnoi,11,7,0,True,66,106,1,9.63,12.0,108,54,"{'score': 201, 'winProbability': 29.63}",[],[]
1442984,1442987,70633,Hardik Pandya,12,14,0,True,72,120,1,10.0,11.75,94,48,"{'score': 209, 'winProbability': 45.14}",[],[]
1442984,1442987,67455,Axar Patel,13,11,0,True,78,131,1,10.07,11.85,83,42,"{'score': 206, 'winProbability': 43.01}",[],[]
1442984,1442987,70633,Hardik Pandya,14,9,0,True,84,140,1,10.0,12.33,74,36,"{'score': 206, 'winProbability': 44.68}",[],"[{'type': 'DROPPED_CATCH', 'inningNumber': 2, 'oversUnique': 13.06, 'batsman': {'id': 93033, 'objectId': 1028655, 'name': 'P Nissanka', 'longName': 'Pathum Nissanka', 'mobileName': 'Nissanka', 'indexName': 'Nissanka, P', 'battingName': 'P Nissanka', 'fieldingName': 'Nissanka', 'slug': 'pathum-nissanka', 'imageUrl': '/db/PICTURES/CMS/318400/318435.jpg', 'headshotImageUrl': '/db/PICTURES/CMS/323000/323070.png'}, 'fielders': [{'id': 104770, 'objectId': 1175441, 'name': 'Ravi Bishnoi', 'longName': 'Ravi Bishnoi', 'mobileName': '', 'indexName': 'Ravi Bishnoi', 'battingName': 'Ravi Bishnoi', 'fieldingName': 'Ravi Bishnoi', 'slug': 'ravi-bishnoi', 'imageUrl': '/db/PICTURES/CMS/335000/335051.4.jpg', 'headshotImageUrl': '/db/PICTURES/CMS/337100/337188.png'}]}]"
1442984,1442987,67455,Axar Patel,15,9,2,True,90,149,3,9.93,13.0,65,30,"{'score': 203, 'winProbability': 23.78}",[],[]
1442984,1442987,104770,Ravi Bishnoi,16,9,1,True,96,158,4,9.87,14.0,56,24,"{'score': 201, 'winProbability': 13.98}",[],"[{'type': 'DROPPED_CATCH', 'inningNumber': 2, 'oversUnique': 15.01, 'batsman': {'id': 78233, 'objectId': 784373, 'name': 'PHKD Mendis', 'longName': 'Kamindu Mendis', 'mobileName': 'Kamindu Mendis', 'indexName': 'Mendis, PHKD', 'battingName': 'PHKD Mendis', 'fieldingName': 'PHKD Mendis', 'slug': 'kamindu-mendis', 'imageUrl': '/db/PICTURES/CMS/305100/305194.jpg', 'headshotImageUrl': '/db/PICTURES/CMS/329900/329938.png'}, 'fielders': [{'id': 104770, 'objectId': 1175441, 'name': 'Ravi Bishnoi', 'longName': 'Ravi Bishnoi', 'mobileName': '', 'indexName': 'Ravi Bishnoi', 'battingName': 'Ravi Bishnoi', 'fieldingName': 'Ravi Bishnoi', 'slug': 'ravi-bishnoi', 'imageUrl': '/db/PICTURES/CMS/335000/335051.4.jpg', 'headshotImageUrl': '/db/PICTURES/CMS/337100/337188.png'}]}]"
1442984,1442987,96392,Riyan Parag,17,5,2,True,102,163,6,9.58,17.0,51,18,"{'score': 189, 'winProbability': 1.83}",[],[]
1442984,1442987,101430,Arshdeep Singh,18,1,1,True,108,164,7,9.11,25.0,50,12,"{'score': 180, 'winProbability': 0.19}",[],[]
1442984,1442987,87477,Mohammed Siraj,19,6,1,True,114,170,8,8.94,44.0,44,6,"{'score': 180, 'winProbability': 0.01}",[],[]
1442984,1442987,96392,Riyan Parag,20,0,2,False,114,170,10,8.94,0.0,44,0,"{'score': 170, 'winProbability': 0}",[],[]
