seriesId,matchId,playerId,playerLongName,playerBattingStyles,playerRoleType,battedType,runs,balls,minutes,fours,sixes,strikerate,isOut,fowOrder,fowWicketNum,fowRuns,fowOvers,fowOverNumber,dismissalType.1,bowlerId,bowlerLongName,bowlingStyles
1410370,1410418,67482,Sam Hain,rhb,P,yes,53.0,40.0,63.0,3.0,1.0,132.5,False,,,,,,12.0,,,
1410370,1410418,105968,Jacob Bethell,lhb,P,yes,32.0,15.0,19.0,3.0,2.0,213.33,True,3.0,4.0,116.0,13.3,14.0,1.0,77267.0,Jordan Thompson,rmf
1410370,1410418,102596,Chris Benjamin,rhb,P,yes,0.0,1.0,1.0,0.0,0.0,0.0,True,4.0,5.0,116.0,13.4,14.0,3.0,77267.0,Jordan Thompson,rmf
1410370,1410418,49496,Chris Woakes,rhb,P,yes,6.0,12.0,16.0,0.0,0.0,50.0,True,5.0,6.0,137.0,17.2,18.0,1.0,77267.0,Jordan Thompson,rmf
1410370,1410418,53296,Danny Briggs,rhb,P,yes,8.0,3.0,5.0,0.0,1.0,266.66,False,,,,,,12.0,,,
1410370,1410418,62682,Jake Lintott,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410418,63314,Richard Gleeson,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410418,72719,Hasan Ali,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410422,57512,David Lloyd,rhb,P,yes,50.0,38.0,49.0,2.0,2.0,131.57,True,3.0,4.0,93.0,13.3,14.0,1.0,53296.0,Danny Briggs,sla
1410370,1410422,67659,Aneurin Donald,rhb,P,yes,2.0,7.0,10.0,0.0,0.0,28.57,True,0.0,1.0,10.0,1.6,2.0,1.0,71379.0,George Garton,lf
1410370,1410422,67188,Cam Fletcher,rhb,P,yes,13.0,11.0,16.0,1.0,1.0,118.18,True,1.0,2.0,40.0,5.2,6.0,1.0,63314.0,Richard Gleeson,rfm
1410370,1410422,47730,Wayne Madsen,rhb,P,yes,0.0,2.0,3.0,0.0,0.0,0.0,True,2.0,3.0,40.0,5.4,6.0,1.0,63314.0,Richard Gleeson,rfm
1410370,1410422,89129,Brooke Guest,rhb,WK,yes,38.0,42.0,50.0,1.0,0.0,90.47,False,,,,,,12.0,,,
1410370,1410422,34736,Samit Patel,rhb,C,yes,2.0,5.0,7.0,0.0,0.0,40.0,True,4.0,5.0,100.0,15.2,16.0,1.0,53296.0,Danny Briggs,sla
1410370,1410422,51416,Ross Whiteley,lhb,P,yes,11.0,10.0,15.0,0.0,1.0,110.0,True,5.0,6.0,120.0,18.3,19.0,2.0,49496.0,Chris Woakes,rfm
